image_path,label,caption,other_labels_in_caption
base_water_142.jpg,water,Three children are jumping into the air into a swimming pool at a resort .,[]
base_water_062.jpg,water,A boy in a black helmet and red long sleeve shirt rides his motorbike over a rocky stream .,[]
base_water_002.jpg,water,"A couple and an infant , being held by the male , sitting next to a pond with a near by stroller .",[]
base_water_074.jpg,water,A person in a scuba suit holds a very small lobster .,[]
base_water_023.jpg,water,A man in a brown shirt sitting on a dock and reading .,[]
base_water_038.jpg,water,A baby boy wearing a shoulder life saver is at the very edge of an orange pool slide .,[]
base_water_014.jpg,water,A boy jumping in a fountain .,[]
base_water_026.jpg,water,Person standing beside bike in stream .,['bike']
base_water_046.jpg,water,A backpacker walks down a rocky mountain .,[]
base_water_036.jpg,water,A boy in swimming trunks .,[]
base_water_021.jpg,water,A child jumping into a lake in a wooded area while another child plays on the shore .,[]
base_water_047.jpg,water,A blond boy in a blue tee shirts stands smiling before a craft of green nylon fabric .,[]
base_water_110.jpg,water,A man in a maroon bathing suit swings on a rope on a lake .,[]
base_water_076.jpg,water,"A dark haired woman wearing a brown jacket and fatigue bottoms and a balding man wearing a green sweater and blue jeans with a fishing pole , stand at the foot of the surf .",[]
base_water_003.jpg,water,A man uses ice picks and crampons to scale ice .,[]
base_water_012.jpg,water,A boy is jumping on an inflatable ring and a girl is watching him,[]
base_water_115.jpg,water,Many of the chairs are empty with only a few people enjoying the sun .,[]
new_water_791.jpg,water,"The sun beats down on the sandy beach as four girls in swimsuits enthusiastically clash with each other over the volleyball, their laughter carrying on the ocean breeze. In the background, the turquoise waves gently lap at the shore, creating a soothing melody that complements the girls' energetic playfulness. As they take turns spiking and blocking, the beach scene radiates an atmosphere of carefree joy and summertime fun.",[]
new_water_084.jpg,water,"A climber scales the rugged face of a rock formation, his muscles tensed as he makes his way upward with careful precision. Behind him, the glittering expanse of a lake stretches out to the horizon, its calm surface reflecting the bright blue sky above. The cityscape in the distance provides a striking contrast to the natural beauty of the surrounding landscape.",[]
new_water_017.jpg,water,"The serene frozen lake, its surface glistening in the pale winter sun, stretches out towards the snow-covered mountain range as a woman rides her brown horse along its edge, clad in a warm blue jacket and matching jeans. The gentle wind stirs up powdery snowflakes that dance around them, while the stillness of the surrounding landscape is only broken by the soft clip-clop of the horse's hooves on the frozen ground. As they ride, the woman gazes out at the tranquil scene with a sense of peaceful solitude.",[]
new_water_1269.jpg,water,"A young girl splashes around in the shallow end of a public pool, her eyes shielded behind brightly colored goggles as she plays with her friends on a sunny afternoon. The warm sun beats down on the crowded pool area, casting a vibrant glow over the scene as children laugh and shout around her. Nearby, adults lounge on colorful beach towels, keeping a watchful eye on their little ones as they enjoy their summer break.",[]
new_water_1188.jpg,water,"A group of friends can be seen laughing and chatting as they participate in a fitness class on the sandy beach, their instructor guiding them through a series of exercises while the sun shines brightly overhead. The sound of seagulls fills the air as waves gently lap at the shore nearby, adding to the lively atmosphere of the session. As the group concludes their workout, they high-five each other and take a moment to cool off in the refreshing ocean spray.",[]
new_water_592.jpg,water,"A tranquil beach scene unfolds, where a lone figure stands at the edge of the waves, their back turned to the viewer as they gaze out towards the vast expanse of ocean. The warm sunlight catches the bright pink hue of their wig, while the vibrant yellow of their shirt provides a stark contrast against the soothing blues and greens of the sea. A gentle breeze stirs the sand at their feet as the sound of waves gently lapping against the shore creates a calming melody.",[]
new_water_1146.jpg,water,"A young girl, laughing with joy, runs along the shoreline, her long hair blowing in the ocean breeze as she playfully chases after a seagull. The warm sunlight casts a golden glow on the sand and the gentle waves of the sea lap at the shore, creating a soothing melody that fills the air. In the distance, sailboats bob gently on the horizon, their white sails billowing in the wind.",[]
new_water_944.jpg,water,"The boy stands knee-deep in the gentle waves, his blue shorts clinging to his legs as he gazes out at the horizon with a look of joyful concentration. The sun beats down on his skin, causing him to squint slightly as he tries to catch the perfect wave. Seagulls wheel overhead, their cries carrying on the breeze as they scan the shoreline for scraps.",[]
new_water_1072.jpg,water,"A young boy, surrounded by sun-kissed friends, is joyfully splashing about in a vibrant blue paddling pool on a warm summer day. The sound of their laughter echoes through the air as they take turns jumping and playing together. A nearby umbrella provides some respite from the heat, casting a cooling shadow over the lively scene.",[]
new_water_1261.jpg,water,"A child, laughing and splashing about, runs along the edge of a small stream that has overflowed its banks, creating a shallow puddle that flows gently through the lush green grass. The sun casts dappled shadows on the ground as the child skips from one muddy patch to another, carefree in their joy of discovery. In the background, a few trees stand tall along the stream's course, their leaves rustling softly in the breeze.",[]
new_water_113.jpg,water,"A young boy, likely around 5-6 years old, splashes and plays in the shallow end of a community pool, his small hands grasping for the edge as he giggles with excitement. His mother stands beside him, her arm wrapped gently around his waist, offering support as she watches him enjoy the warm summer afternoon. The sun beats down on their skin, casting a golden glow over the scene as they bask in the joy of this carefree moment together.",[]
new_bike_033.jpg,bike,"A woman in a pink hat and navy blue coat pedals down a winding suburban street, the morning sunlight casting a warm glow on her face as she effortlessly navigates her bicycle around a curve. A few leaves rustle in the gentle breeze, drifting to the ground at her feet. In the background, a row of neatly manicured lawns stretches out, with a few residents beginning to emerge from their front doors for their daily morning routines.",[]
new_bike_036.jpg,bike,"An elderly woman pedals her bicycle slowly through the crowded city streets, her gray hair tied back in a ponytail as she navigates around pedestrians and parked cars. In front of her, a yellow taxi speeds down the road, its horn blaring as it prepares to pass by. The warm sunlight catches the dust motes dancing in the air, casting a golden glow over the bustling scene.",[]
new_bike_041.jpg,bike,"The cyclist, clad in a pair of worn jeans and a faded t-shirt, pedaled steadily down the sidewalk, their red helmet visible from a distance as they navigated through the morning rush hour traffic. The pavement was lined with tall trees, casting dappled shadows on the ground beneath. As they approached the corner, a pedestrian stepped out onto the crosswalk, forcing the cyclist to slow and weave around them.",[]
new_bike_280.jpg,bike,"A father and young son are strolling through a quiet neighborhood street on a sunny afternoon, with the boy struggling to balance himself as he pedals a shiny bicycle with training wheels. The father offers gentle guidance and support, his hands grasping the back of the saddle as he helps his son find his footing. A few curious neighbors watch from their front porches, smiling at the heartwarming scene unfolding before them.",[]
new_bike_381.jpg,bike,"A cyclist, likely on their way to work or school, pedals down the tree-lined street with ease, the gentle morning sun casting a warm glow over the scene. The rider's backpack is securely fastened to their back, containing the essentials for a day out, as they continue on their leisurely ride through the suburban neighborhood. In the background, the sound of children's laughter and the occasional bark of a dog can be heard, adding to the relaxed atmosphere.",['dog']
new_bike_135.jpg,bike,"A young woman wearing casual athletic clothing pedaled her sleek black bicycle through the park on a sunny afternoon, her ponytail bouncing behind her as she picked up speed. As she approached a wooden bench left unattended by its owner, she expertly launched herself into the air, soaring over the obstacle with ease before landing smoothly back on her wheels and continuing down the path. The warm breeze rustled through the leaves of the nearby trees as she vanished from view around the next bend.",[]
new_bike_016.jpg,bike,"A rugged off-road motorcycle navigates through a babbling brook, its tires kicking up small rocks as it makes its way across the shallow water. The rider's concentration is evident in his focused expression and deliberate movements, as he carefully selects each step to avoid getting stuck or losing traction. In the background, the surrounding landscape of tall trees and rocky outcroppings adds to the scene's sense of wilderness and adventure.",['water']
new_bike_117.jpg,bike,"A cyclist wearing blue and yellow lycra pedals down a winding forest path, the sun casting dappled shadows on the ground beneath her wheels as she picks up speed. The trees, swaying gently in the breeze, provide a serene backdrop to the rhythmic motion of her ride. In the distance, a hint of a wooden signpost catches her eye, marking the entrance to a nearby trailhead.",[]
new_bike_309.jpg,bike,"The man's hands move deftly as he tightens the bolt, his focus solely on repairing the wheel. The bicycle leans against a workbench, its chain hanging limply from the gears. In the background, cycling magazines and tools line the shelves of the shop, adding to the atmosphere of a bustling cycling store.",[]
new_bike_246.jpg,bike,"A BMX rider speeds down a winding dirt track, his black and red uniform a blur as he navigates the rough terrain. The sound of loose gravel crunching beneath his wheels echoes through the air, accompanied by the rush of wind past his helmet. He's completely absorbed in the thrill of the ride, his focus fixed intently on the path ahead.",[]
new_bike_073.jpg,bike,"A woman in a blue tank top and shorts is jogging down an asphalt road, her ponytail bouncing with each step, while to her left, a cyclist wearing a yellow jersey and matching helmet pedals steadily towards her, the rhythmic sound of his wheels on the pavement filling the air as he passes by. The sun casts long shadows across the road behind him, illuminating the slight incline that leads up to a distant hill in the background. A few trees line the roadside, their leaves rustling gently in the breeze.",[]
new_bike_017.jpg,bike,"A man clad in leather jacket and helmet is riding on a red motorcycle down a winding mountain road, the wind blowing through his hair as he navigates the twisty turns with ease. The sun casts a warm glow over the scene, illuminating the lush green trees that line the roadside and the occasional patch of wildflowers that bloom alongside the asphalt. In the distance, the rugged peaks of the mountains rise up, their snow-capped summits glistening in the bright light.",[]
new_bike_070.jpg,bike,"A woman in a bold outfit pedals her sleek bicycle down a bustling city street, drawing curious glances from passersby. On her back, she wears a pair of black, intricately designed wings attached to a gleaming metal frame, which seems almost too heavy for its delicate attachment points. Nearby pedestrians exchange knowing smiles and nods as they continue on their own daily routines.",[]
new_bike_119.jpg,bike,"A man on a three-wheeled vehicle, often used by seniors or people with mobility issues due to its stability and balance, loses control while riding it down a gentle slope. The man's feet are lifted off the ground as he falls onto his right side, indicating a momentary loss of balance. A nearby fence or railing serves as a warning about the hazardous terrain ahead.",[]
new_bike_274.jpg,bike,"A young boy is riding his bicycle through the park on a sunny afternoon, feeling carefree as he glides along the winding path. His little sister is happily perched behind him, her eyes shining with excitement as she holds onto the handlebars and waves an umbrella to keep off the glare of the sun. As they pick up speed, their joyful laughter carries through the air, filling the peaceful atmosphere of the park on this idyllic summer day.",[]
new_bike_146.jpg,bike,"A young boy, dressed in bright orange safety gear, pedaled his shiny new bicycle down the winding road as the warm sunlight caught the afternoon breeze. The pavement stretched out before him, lined with trees whose leaves rustled gently in the wind. As he rode, a fluttering bird flitted across the road ahead, momentarily distracting the boy from the thrill of the ride.",[]
new_bike_236.jpg,bike,"In the midst of a bustling street festival, a group of people watch in awe as a young boy skillfully balances on his unicycle. Nearby, a bright blue bicycle leans against a lamppost, awaiting its owner's return from the excitement. A colorful vendor's stand selling ice cream and balloons adds to the lively atmosphere surrounding the performer.",[]
new_bike_094.jpg,bike,"The rider, clad in rain gear, navigates the curve of the racetrack on their green motorcycle, its tires skidding slightly on the wet surface. The sound of revving engines and screeching tires fills the air as they speed past the pit crew, who are watching with a mixture of concentration and concern. In the background, a banner flapping in the wind reads ""Rainy Day Showdown"" as the motorcycle roars around the turn.",[]
new_bike_223.jpg,bike,"A cyclist, fully geared up in protective clothing, has just launched himself off a ramp, soaring high above the city skyline. The sun glints off the chrome handlebars as he performs a daring trick, momentarily weightless in mid-air. Below him, the bustling streets of the metropolis stretch out, a sea of cars and pedestrians paused in awe of his acrobatic feat.",[]
new_bike_306.jpg,bike,"A young boy, likely around 8 years old, is riding a shiny black bicycle down a quiet suburban street lined with tall trees and neatly manicured lawns. He wears a bright blue helmet to ensure his safety as he zooms along, his ponytail flying behind him in the breeze. His mother watches from the sidewalk nearby, smiling proudly at her son's carefree joy on two wheels.",[]
new_bike_002.jpg,bike,"A lone cyclist pedaled uphill on their trusty bicycle, the curves of the road unfolding like a ribbon as they rode. The hillside was ablaze with wildflowers, their vibrant colors adding a pop of vibrancy to the serene landscape. In the distance, the faint outline of a village appeared, its rooftops glistening in the late morning sun.",[]
new_bike_263.jpg,bike,"A young bicyclist, wearing a helmet and sporting a big smile, is mid-air as they ride over a colorful ramp at a skatepark. The ramp itself is covered in vibrant graffiti, adding to the energetic atmosphere of the scene. In the background, other skateboarders and BMX riders can be seen taking turns on various obstacles, creating a lively and dynamic environment for thrill-seekers.",[]
new_bike_034.jpg,bike,"The man in the beret pedaled his bicycle down the cobblestone street, weaving past pedestrians who stopped to glance at the colorful market stalls set up along the way. A few children played tag on the sidewalk, their laughter carrying through the crisp morning air as they chased each other towards the city square. The sun cast a warm glow over the scene, illuminating the vibrant flowers arranged in a nearby vendor's cart.",[]
new_bike_046.jpg,bike,"The dirt road stretched out before the bicyclists, winding its way between two weathered wire fences that seemed to bookend the landscape. The riders were fully immersed in their exercise, pedaling steadily as they took in the rural scenery. A few loose strands of barbed wire hung from one of the fences, a reminder of the countryside's rustic charm.",[]
new_bike_173.jpg,bike,"The sun-kissed ramp stood ready, its edge lined with a thin layer of dirt from countless riders before. A lone bicyclist, clad in worn gloves and helmet, revved their engine and began to roll down the incline. With a burst of speed, they launched into mid-air, executing a smooth trick as the camera captured the perfect moment of flight.",[]
new_bike_401.jpg,bike,"The sun casts a warm glow over the quiet suburban street as a rider expertly balances his bicycle on two wheels, momentarily lifting off the sidewalk to perform a wheelie. The sound of laughter echoes through the air as he returns to solid ground, a grin spreading across his face as he continues down the path. In the background, a few pedestrians walk by, paying little attention to the display of cycling prowess unfolding before them.",[]
new_bike_249.jpg,bike,"A young boy, dressed in casual clothing, sits atop his bicycle as he takes a break on the path, his small legs dangling off the ground. The red helmet that protects his head from any potential harm catches the sunlight and adds a pop of color to the scene. Nearby, the patterned path stretches out, providing a safe route for him to ride and explore.",[]
new_bike_129.jpg,bike,"The athlete, using his specially designed handcycle, navigates the winding street as spectators cheer him on from the sidelines. The sounds of their applause and chants fill the air as he gains momentum towards the finish line, his determination evident in every pedal stroke. A banner draped across a nearby storefront reads ""Supporting Paralympic Athletes: Together We Ride"".",[]
new_bike_392.jpg,bike,"A middle-aged man with a well-groomed beard rides his bicycle down a busy street, the afternoon sun casting a warm glow over the scene as he navigates through a crowd of pedestrians. He's wearing a black shirt and faded jeans, his feet clad in scuffed sneakers. A few other cyclists can be seen weaving past each other on the road, their bells ringing out as they go about their daily commutes.",[]
new_bike_120.jpg,bike,"A man pedals his bicycle down a busy city street, weaving in and out of pedestrians who are rushing to and fro on their way to work. The sounds of car horns and chatter fill the air as he navigates through the crowded thoroughfare. In the background, a sleek skyscraper rises up towards the sky, its windows reflecting the bright sunlight filtering down from above.",[]
new_bike_348.jpg,bike,"A man carefully secures his bicycle to a street rack, ensuring it's safely locked in place for the duration of his absence. Meanwhile, a woman dressed in a bold black and red outfit walks by with a purposeful stride, seemingly unaware of the cyclist as she navigates through the bustling city streets. The scene is set in a vibrant urban environment where bicycles are a common mode of transportation.",[]
new_bike_054.jpg,bike,"A group of friends, all in their early twenties, stroll along a vibrant city street on a sunny afternoon. Two of them, laughing and chatting, ride a colorful bicycle together, while the others walk alongside, taking in the sights and sounds of the bustling urban scene. The bicycle, decorated with flowers or stickers, weaves its way through pedestrians, adding to the lively atmosphere of the neighborhood.",[]
new_bike_071.jpg,bike,"A young girl, dressed in a vibrant fairy costume complete with sparkling wings and a delicate tiara, pedals along a winding neighborhood street on her shiny red tricycle. The afternoon sunlight casts a warm glow over the scene as she smiles up at her beaming mother, who is taking a photo to capture this special moment. In the background, a few scattered leaves dance in the gentle breeze, adding a touch of whimsy to the already magical atmosphere.",[]
new_bike_020.jpg,bike,"A young girl pedals her red bicycle through the dense woods, her curly brown hair bouncing in the sunlight filtering through the trees. By her side, a playful black and white dog trots along, its tail wagging excitedly as it chases after sticks. The air is filled with the sweet scent of blooming wildflowers and the gentle hum of the bicycle's wheels on the dirt path.",['dog']
new_bike_285.jpg,bike,"A cyclist, dressed in a vibrant green jersey, pedaled furiously down the winding road as they chased after their friends who were scattered across the peloton. The sunlight caught the ripples on the rider's helmet and cast long shadows behind them as they gained speed. In the distance, a few spectators stood at the side of the road, cheering on the riders as they approached a sharp bend.",[]
new_bike_157.jpg,bike,"A young girl, likely on her way home from school, walks alongside her shiny bicycle as it glows in the soft light of streetlamps illuminating the quiet evening streets. The air is filled with the sweet scent of blooming flowers and the gentle hum of crickets. She's wearing a vibrant purple jacket over a blue sweater, a colorful scarf wrapped around her neck, as she pedals carefully through the night.",[]
new_bike_156.jpg,bike,"A cyclist, dressed in casual attire, pedals swiftly along the white line dividing the busy city center's road from the adjacent pedestrian zone. The sounds of honking cars and chatter fill the air as the rider navigates through the crowded streets with ease. In the background, a row of towering skyscrapers casts long shadows across the pavement, adding to the vibrant atmosphere of the urban landscape.",[]
new_bike_019.jpg,bike,"A young girl in a bright pink shirt pedals her bicycle down a bustling city street, weaving through the flow of cars as she heads to school. She wears a helmet and has a determined look on her face, expertly navigating the crowded road as she reaches for the next intersection. The sounds of honking horns and revving engines fill the air around her, but she remains focused on reaching her destination safely.",[]
new_bike_376.jpg,bike,"A young girl sits on a brightly colored toy bicycle, her feet pedaling slowly as she smiles up at her parent standing beside her. The sun casts a warm glow over the scene, illuminating the cheerful atmosphere of a backyard play session. Nearby, other toys and play equipment wait to be used in the next game or adventure.",[]
new_bike_389.jpg,bike,"A young girl zooms by on her sleek bicycle, weaving through the crowd as she heads down the busy street. She wears a bright smile as she pedals quickly, her ponytail bobbing behind her. In the background, people of all ages hurry to and fro, going about their daily business amidst the vibrant urban scene.",[]
new_bike_006.jpg,bike,"A man pedals his bicycle down a rugged, rocky hill, his muscles tensed as he navigates the uneven terrain. The wind rushes past him, whipping his hair back and forth as he gains speed. In the distance, a few trees dot the landscape, their branches stretching out like outstretched arms towards the horizon.",[]
base_dog_029.jpg,dog,A black and white Border Collie catches a Frisbee in front of an audience .,[]
base_dog_025.jpg,dog,A Corgi runs out of a tunnel .,[]
base_dog_112.jpg,dog,A black puppy is biting a tree limb .,[]
base_dog_113.jpg,dog,A Jack Russell Terrier is measured for distance jumping as he tries to catch a Frisbee .,[]
base_dog_082.jpg,dog,A girl carries a lot through the grass .,[]
new_dog_1114.jpg,dog,"The man stood in his backyard, patiently guiding his energetic black poodle through a series of obedience commands. The poodle's tail wagged furiously as it struggled to focus on the task at hand, its owner's cheerful voice offering words of encouragement. A bright yellow shirt made the man stand out against the lush green grass, as he worked to instill good manners in his rambunctious pet.",[]
new_dog_016.jpg,dog,"The sun was shining brightly on the lush green grass of the outdoor agility course, where a black and white Border Collie named Max was in mid-flight, its paws outstretched as it expertly caught a red Frisbee tossed by its owner. The crowd gathered around the course erupted into cheers and applause as Max landed safely back on the ground, wagging its tail triumphantly. With its energy spent, Max pranced over to its owner, who was beaming with pride, and dropped the Frisbee at their feet.",[]
new_dog_416.jpg,dog,"A playful scene unfolds in a sun-drenched backyard, where two adorable puppies - one fluffy white with brown patches, and the other a curly-haired white ball of energy - chase each other around a green lawn, their joyful yips filling the air as they frolic together under the warm rays of the afternoon sun. The surrounding garden is dotted with colorful flowers and towering trees, providing a lively backdrop for this heartwarming moment between two happy canine companions. As they tumble about, their playful antics bring smiles to the faces of anyone lucky enough to witness such unbridled joy.",['ball']
new_dog_991.jpg,dog,"A friendly labrador retriever stands proudly on top of a weathered tree trunk, its fur fluffed up slightly from the chill in the air. In the background, a guy with a rugged look can be seen walking towards the scene, perhaps having called out to his loyal companion or simply enjoying the crisp morning atmosphere. The fallen tree's gnarled branches create a picturesque frame for this serene moment of canine companionship.",[]
new_dog_706.jpg,dog,"A young boy frolics in the snow, his bright yellow and black snowsuit standing out against the winter landscape as he plays with his energetic brown companion, who wears a vibrant red collar around its neck. The air is crisp and cold, and a few snowflakes dance gently around them, adding to the serene atmosphere of their winter playdate. As they romp through the drifts, the boy's laughter echoes across the frozen terrain, filling the peaceful scene with joy and warmth.",[]
new_dog_517.jpg,dog,"A sleek greyhound bursts across the dusty dirt track, its lean muscles rippling beneath its short coat as it hurtles towards the finish line. The roar of the crowd rises to a crescendo in the background, while the greyhound's ears flail back and forth in its excitement. As it crosses the finish line, its handler rushes forward to congratulate the triumphant canine athlete.",[]
new_dog_875.jpg,dog,"A playful golden retriever has managed to get its jaws stuck on a worn-out beach towel, causing its owner to let out a frustrated laugh as she tries to pry it loose from her grasp. The warm sunlight casts a gentle glow over the scene, illuminating the rough patches of sand and the rocky shoreline behind them. Seagulls wheel overhead, their raucous cries mingling with the sound of waves crashing against the shore.",[]
new_dog_1136.jpg,dog,"The brown and black puppy, its fur fluffed up from excitement, stands on its hind legs by a camera lens, its curious eyes gazing up at the photographer as it tries to get a better look at itself in the reflected light. The puppy's tail wags enthusiastically, thumping against the photographer's leg as they wait for the perfect shot. In the background, a blurred room with wooden furniture can be seen through the camera lens.",[]
new_dog_1191.jpg,dog,"A serene riverside path winds its way through a lush green landscape, lined with tall trees that provide dappled shade on a warm summer day. A happy child perches precariously on a unicycle, balancing as they glide along the path while their proud owner looks on from behind. By their side trots a playful golden retriever, its tail wagging enthusiastically as it keeps pace with the young rider's wobbly attempts at balance and coordination.",[]
new_dog_007.jpg,dog,"A lively scene unfolds in a sun-drenched backyard, where two canine companions - one sleek black and the other warm brown - engage in a playful game of chase. A bright red rubber toy bounces and spins through the air as they jump up to catch it, their joyful yips filling the afternoon air. The grass beneath them is dotted with vibrant flowers, adding splashes of color to this carefree moment.",[]
base_bike_042.jpg,bike,The two girls ride together on the bicycle while sightseeing .,[]
base_bike_114.jpg,bike,A guy performing a bicycle jump trick for an audience .,[]
base_bike_088.jpg,bike,A man on a bicycle jumping off a dirt ramp with one foot on the ground,[]
base_bike_031.jpg,bike,A bicyclist dressed in all black in traffic .,[]
base_bike_033.jpg,bike,A man in a beret rides a bicycle down the street .,[]
base_bike_080.jpg,bike,A motorcycle racer is riding a black motorcycle .,[]
base_bike_036.jpg,bike,A man on a bicycle riding on the beach .,[]
base_bike_041.jpg,bike,A bearded man wearing a bandanna is pointing his finger whilst riding a bicycle .,[]
base_bike_072.jpg,bike,A boy on a bicycle rides the ledge of water fountain while another boy is in the fountain .,['water']
base_bike_032.jpg,bike,A woman in a pink hat and a navy blue coat riding a bicycle .,[]
base_bike_115.jpg,bike,A cyclist wearing blue and yellow riding past trees .,[]
base_bike_018.jpg,bike,A black and white dog lies on the ground next to a little girl on a red bicycle in the woods .,['dog']
base_bike_057.jpg,bike,A man on a motorcycle going around a corner .,[]
base_bike_132.jpg,bike,A bicycle gets airborne .,[]
base_bike_117.jpg,bike,A man riding a three wheeled vehicle topples over .,[]
base_bike_093.jpg,bike,A man on a motorcycle riding on his back tire .,[]
base_bike_017.jpg,bike,A girl in a pink shirt is riding a bicycle in traffic .,[]
base_bike_098.jpg,bike,A cyclist is performing a jump by some trees .,[]
base_bike_124.jpg,bike,A person is standing near a row of identical red and white bicycles .,[]
base_bike_056.jpg,bike,A group of motorcycles wearing black .,[]
base_bike_094.jpg,bike,A girl in a pink bicycle rides in front of a restaraunt .,[]
base_bike_095.jpg,bike,A man on a bicycle rides on a mountain .,[]
base_bike_052.jpg,bike,"Five young people on the street , two sharing a bicycle .",[]
base_bike_069.jpg,bike,Two ladies are wearing nothing except body paint and riding on bicycles in a street fair .,[]
base_bike_002.jpg,bike,A cyclist is riding a bicycle on a curved road up a hill .,[]
base_bike_039.jpg,bike,A cyclist wearing a red helmet is riding on the pavement .,[]
base_bike_064.jpg,bike,A girl making a sad face standing in front of her tricycle,[]
base_bike_034.jpg,bike,A group of people in protective gear .,[]
base_bike_060.jpg,bike,A cyclist is performing a jump next to a black advertising banner .,[]
base_bike_089.jpg,bike,A green motorcycle is being ridden on a wet racetrack .,[]
base_bike_141.jpg,bike,A group of bicyclists racing .,[]
